Size, Pivot count, Time [ms]
1000000000, 1, 55554
1000000000, 2, 57381
1000000000, 3, 64065
1000000000, 1, 55135
1000000000, 2, 57478
1000000000, 3, 65047
1000000000, 1, 56791
1000000000, 2, 56946
1000000000, 3, 61318
1000000000, 1, 59925
1000000000, 2, 63545
1000000000, 3, 66204
1000000000, 1, 55576
1000000000, 2, 59078
1000000000, 3, 63754
1000000000, 1, 62359
1000000000, 2, 60515
1000000000, 3, 72909
1000000000, 1, 74859
1000000000, 2, 65092
1000000000, 3, 69449
1000000000, 1, 54180
1000000000, 2, 60000
1000000000, 3, 63941
1000000000, 1, 60008
1000000000, 2, 54362
1000000000, 3, 68633
1000000000, 1, 66609
1000000000, 2, 57597
1000000000, 3, 58653
1000000000, 1, 71414
1000000000, 2, 60525
1000000000, 3, 64585
1000000000, 1, 63707
1000000000, 2, 57957
1000000000, 3, 69915
1000000000, 1, 67575
1000000000, 2, 57875
1000000000, 3, 65293
1000000000, 1, 77632
1000000000, 2, 64031
1000000000, 3, 67981
1000000000, 1, 63779
1000000000, 2, 56908
1000000000, 3, 60916
1000000000, 1, 71485
1000000000, 2, 55809
1000000000, 3, 74666
1000000000, 1, 66716
1000000000, 2, 51192
1000000000, 3, 67032
1000000000, 1, 54174
1000000000, 2, 59264
1000000000, 3, 71988
1000000000, 1, 72471
1000000000, 2, 61564
1000000000, 3, 57470
1000000000, 1, 70016
1000000000, 2, 52965
1000000000, 3, 71288
1000000000, 1, 58809
1000000000, 2, 62760
1000000000, 3, 61957
1000000000, 1, 68287
1000000000, 2, 61615
1000000000, 3, 63710
1000000000, 1, 65937
1000000000, 2, 54163
1000000000, 3, 64384
1000000000, 1, 60787
1000000000, 2, 55038
1000000000, 3, 73383
1000000000, 1, 61752
1000000000, 2, 56722
1000000000, 3, 78986
1000000000, 1, 59477
1000000000, 2, 59994
1000000000, 3, 63780
1000000000, 1, 63094
1000000000, 2, 70918
1000000000, 3, 70243
1000000000, 1, 66336
1000000000, 2, 58573
1000000000, 3, 61880
1000000000, 1, 66851
1000000000, 2, 57977
1000000000, 3, 68407
1000000000, 1, 63573
1000000000, 2, 78221
1000000000, 3, 74879
1000000000, 1, 55341
1000000000, 2, 58296
1000000000, 3, 68203
1000000000, 1, 54031
1000000000, 2, 51894
1000000000, 3, 64062
1000000000, 1, 70411
1000000000, 2, 60093
1000000000, 3, 70060
1000000000, 1, 69181
1000000000, 2, 52878
1000000000, 3, 62735
1000000000, 1, 60588
1000000000, 2, 56523
1000000000, 3, 60852
1000000000, 1, 65571
1000000000, 2, 69043
1000000000, 3, 68803
1000000000, 1, 56107
1000000000, 2, 60810
1000000000, 3, 69337
1000000000, 1, 53065
1000000000, 2, 52625
1000000000, 3, 76826
1000000000, 1, 60234
1000000000, 2, 63523
1000000000, 3, 64784
1000000000, 1, 53424
1000000000, 2, 59007
1000000000, 3, 70835
1000000000, 1, 64418
1000000000, 2, 62792
1000000000, 3, 61257
1000000000, 1, 54425
1000000000, 2, 55153
1000000000, 3, 64076
1000000000, 1, 55226
1000000000, 2, 55934
1000000000, 3, 74641
1000000000, 1, 57903
1000000000, 2, 64278
1000000000, 3, 63036
1000000000, 1, 55097
1000000000, 2, 50443
1000000000, 3, 75472
1000000000, 1, 63643
1000000000, 2, 74992
1000000000, 3, 70008
1000000000, 1, 66543
1000000000, 2, 58442
1000000000, 3, 76727
1000000000, 1, 67526
1000000000, 2, 52929
1000000000, 3, 63862
1000000000, 1, 61755
1000000000, 2, 50019
1000000000, 3, 63739
1000000000, 1, 61127
1000000000, 2, 59645
1000000000, 3, 68383
